Strain,Stress (MPa)
0,0
3.46679300227725e-06,0.000397361
3.68001263356106e-05,0.004218006
7.01334596689439e-05,0.00898232
0.000103467,0.013928127
0.0001368,0.018099035
0.000170133,0.023759596
0.000203467,0.029420473
0.0002368,0.03459033
0.000270133,0.040343689
0.000303467,0.046729348
0.0003368,0.052407184
0.000370133,0.05833533
0.000403467,0.064196855
0.0004368,0.069221991
0.000470133,0.073677091
0.000503467,0.078624818
0.0005368,0.084281738
0.000570133,0.089511272
0.000603467,0.09371024
0.0006368,0.098208564
0.000670133,0.10330764
0.000703467,0.108255928
0.0007368,0.113672526
0.000770133,0.11884584
0.000803467,0.122370975
0.0008368,0.12655115
0.000870133,0.130597596
0.000903467,0.134913286
0.0009368,0.140095189
0.000970133,0.144089256
0.001003467,0.149012608
0.0010368,0.152946428
0.001070133,0.156891235
0.001103467,0.160606279
0.0011368,0.165030138
0.001170133,0.169298062
0.001203467,0.173886074
0.0012368,0.17793365
0.001270133,0.182724149
0.001303467,0.185980292
0.0013368,0.190104697
0.001370133,0.193480672
0.001403467,0.197433416
0.0014368,0.202375349
0.001470133,0.20673304
0.001503467,0.211353478
0.0015368,0.214897127
0.001570133,0.218696867
0.001603467,0.223339588
0.0016368,0.227368402
0.001670133,0.231751537
0.001703467,0.234707878
0.0017368,0.23857867
0.001770133,0.24325096
0.001803467,0.247157738
0.0018368,0.251666509
0.001870133,0.255149482
0.001903467,0.260381779
0.0019368,0.26444906
0.001970133,0.267894938
0.002003467,0.272109327
0.0020368,0.274864117
0.002070133,0.278612045
0.002103467,0.283096433
0.0021368,0.286588436
0.002170133,0.2915659
0.002203467,0.294931238
0.0022368,0.298487828
0.002270133,0.302028444
0.002303467,0.305719056
0.0023368,0.31026011
0.002370133,0.314584003
0.002403467,0.317771235
0.0024368,0.321400086
0.002470133,0.324942384
0.002503467,0.32941323
0.0025368,0.334592489
0.002570133,0.338802897
0.002603467,0.342270813
0.0026368,0.346041641
0.002670133,0.349164919
0.002703467,0.352434535
0.0027368,0.356334975
0.002770133,0.361166684
0.002803467,0.365400269
0.0028368,0.369410019
0.002870133,0.373279126
0.002903467,0.376962212
0.0029368,0.380645356
0.002970133,0.383956878
0.003003467,0.38743194
0.0030368,0.391440205
0.003070133,0.394894224
0.003103467,0.399454438
0.0031368,0.402700866
0.003170133,0.406477842
0.003203467,0.409975535
0.0032368,0.413248617
0.003270133,0.418570797
0.003303467,0.422459251
0.0033368,0.426206018
0.003370133,0.428581172
0.003403467,0.432642006
0.0034368,0.437116994
0.003470133,0.440449076
0.003503467,0.44490705
0.0035368,0.447874366
0.003570133,0.452343742
0.003603467,0.456583492
0.0036368,0.459108801
